ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
665,Non-decreasing Array,/problems/non-decreasing-array,N,24.2%,Medium,16.39%,Array
669,Trim a Binary Search Tree,/problems/trim-a-binary-search-tree,N,66.3%,Medium,6.11%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
670,Maximum Swap,/problems/maximum-swap,N,47.9%,Medium,16.65%,"Math, Greedy"
673,Number of Longest Increasing Subsequence,/problems/number-of-longest-increasing-subsequence,N,42.3%,Medium,18.94%,"Array, Dynamic Programming, Binary Indexed Tree, Segment Tree"
680,Valid Palindrome II,/problems/valid-palindrome-ii,N,39.3%,Easy,2.00%,"Two Pointers, String, Greedy"
681,Next Closest Time,/problems/next-closest-time,Y,46.4%,Medium,27.96%,No Topics Found
684,Redundant Connection,/problems/redundant-connection,N,62.0%,Medium,6.83%,"Depth-First Search, Breadth-First Search, Union Find, Graph"
688,Knight Probability in Chessboard,/problems/knight-probability-in-chessboard,N,52.1%,Medium,36.44%,Dynamic Programming
690,Employee Importance,/problems/employee-importance,N,65.2%,Medium,10.87%,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search"
692,Top K Frequent Words,/problems/top-k-frequent-words,N,56.9%,Medium,22.90%,"Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
694,Number of Distinct Islands,/problems/number-of-distinct-islands,Y,60.6%,Medium,30.16%,No Topics Found
696,Count Binary Substrings,/problems/count-binary-substrings,N,65.6%,Easy,21.57%,"Two Pointers, String"
698,Partition to K Equal Sum Subsets,/problems/partition-to-k-equal-sum-subsets,N,40.8%,Medium,17.57%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
715,Range Module,/problems/range-module,N,44.7%,Hard,20.78%,"Design, Segment Tree, Ordered Set"
716,Max Stack,/problems/max-stack,Y,45.3%,Hard,18.83%,No Topics Found
719,Find K-th Smallest Pair Distance,/problems/find-k-th-smallest-pair-distance,N,36.4%,Hard,76.90%,"Array, Two Pointers, Binary Search, Sorting"
721,Accounts Merge,/problems/accounts-merge,N,56.4%,Medium,19.09%,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
724,Find Pivot Index,/problems/find-pivot-index,N,53.4%,Easy,9.08%,"Array, Prefix Sum"
729,My Calendar I,/problems/my-calendar-i,N,57.2%,Medium,7.95%,"Array, Binary Search, Design, Segment Tree, Ordered Set"
733,Flood Fill,/problems/flood-fill,N,60.6%,Easy,23.32%,"Array, Depth-First Search, Breadth-First Search, Matrix"
735,Asteroid Collision,/problems/asteroid-collision,N,44.4%,Medium,43.97%,"Array, Stack, Simulation"
739,Daily Temperatures,/problems/daily-temperatures,N,66.6%,Medium,20.65%,"Array, Stack, Monotonic Stack"
746,Min Cost Climbing Stairs,/problems/min-cost-climbing-stairs,N,62.5%,Easy,4.84%,"Array, Dynamic Programming"
752,Open the Lock,/problems/open-the-lock,N,55.5%,Medium,17.27%,"Array, Hash Table, String, Breadth-First Search"
429,N-ary Tree Level Order Traversal,/problems/n-ary-tree-level-order-traversal,N,70.6%,Medium,21.05%,"Tree, Breadth-First Search"
428,Serialize and Deserialize N-ary Tree,/problems/serialize-and-deserialize-n-ary-tree,Y,65.5%,Hard,18.35%,No Topics Found
430,Flatten a Multilevel Doubly Linked List,/problems/flatten-a-multilevel-doubly-linked-list,N,59.5%,Medium,8.08%,"Linked List, Depth-First Search, Doubly-Linked List"
763,Partition Labels,/problems/partition-labels,N,79.8%,Medium,9.84%,"Hash Table, Two Pointers, String, Greedy"
767,Reorganize String,/problems/reorganize-string,N,52.8%,Medium,58.50%,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
772,Basic Calculator III,/problems/basic-calculator-iii,Y,48.6%,Hard,35.96%,No Topics Found
703,Kth Largest Element in a Stream,/problems/kth-largest-element-in-a-stream,N,55.5%,Easy,8.28%,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
704,Binary Search,/problems/binary-search,N,55.1%,Easy,1.16%,"Array, Binary Search"
777,Swap Adjacent in LR String,/problems/swap-adjacent-in-lr-string,N,37.1%,Medium,17.67%,"Two Pointers, String"
778,Swim in Rising Water,/problems/swim-in-rising-water,N,59.7%,Hard,6.90%,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
